ID,answer
115,"50/50 Advantages: The sample size of both groups is equal, making the comparison easier, clearer, and more reliable. Disadvantages: If this change has a negative impact, a lot of business opportunities will be lost during the experiment, because 50% of customers use the bad model during the experiment. 80/20 Advantages: Reduces the risk that the new ad position may have a negative impact on users, because only 20% of customers use it. Disadvantages: Less data will be obtained, making the statistical reliability less. This problem should be solved with 50/50 because it will get more statistically reliable data. The loss of business opportunities if the new results are not good is not important, because the attribution period of this experiment is only 7 days, making the impact very small compared to the data and opportunities that we will get."
116,"50/50 Pros: It is much faster to complete the experiment with the n people you set. Cons: If there is a problem with the newly created ad position experiment, the damage will be huge. 80/20 Pros: If there is a problem with the newly created ad position experiment, the damage will be much less than 50/50. Cons: It is still risky and the data is collected slowly. Choosing the most appropriate method depends on how big Hamtube is. If it is a small startup, 50/50 should be used to quickly increase sales. If it is a large company, 80/20 should be used, which should actually be less since it is just moving ads. You should accept the lowest risk and gradually collect a/b testing data to avoid huge losses."
117,"Granularity: # ads clicked/#total views shows how many people clicked on the ads. Attribute period: 1 day Because Hamtube is a website that people visit frequently, it should not have a period of time that is too long."
118,"50/50 model Advantages: Equal experimentation, not focusing too much on any one position. Disadvantages: Can&#39;t see the impact of having a new position. 80/20 model Advantages: Can gradually test user behavior in changing positions, low risk. Disadvantages: Unequal proportion, low chance of seeing ads in the new position. I think 80/20 model is better, in order to see user behavior, find consistency between the old and new positions while doing testing, which will be useful for future testing."
119,"50/50: It takes less time to collect data, but there is more risk from placing ads in new positions. 80/20: It takes more time to collect data, but there is less risk from placing ads in new positions. Answer: 50/50 because the risk from placing ads in new positions is not significant. Hamtube users use the platform primarily to watch online videos, not to watch ads. Placing ads is unlikely to have much of an impact on users&#39; experience, so they can accept a greater risk from placing ads."
120,"Agree because - It is data driven insight, meaning there is real data to support the decision, not just feelings. - A/B testing is comparing two (or more) versions of a variable, with the same control variables, which is the case in this situation. However, the samples of both versions must be the same and must represent the population."
121,It should be used because using A/B testing can reduce risk and measure business results when comparing results A to B.
122,- Granularity should be session level to see if ad position shifting causes clicks in each session. - Attributution period should be 1-3 months to see if ad position shifting causes clicks in the long run.
123,"It is appropriate because there are other factors that affect sales, such as the advertising clip at that time, the popularity of society at that time, the social trends at that time, the country&#39;s finances at that time, which makes it acceptable to use A/B testing. "
124,"1. Data-Driven Decision Making: A/B testing provides concrete data on user behavior and preferences. It allows Hamtaro to make decisions based on evidence rather than assumptions. 2. Identifying Causation: A/B testing helps establish a causal relationship between changes made (moving the ads) and the observed outcomes (click-through rates, revenue). This is crucial for understanding the true impact of the change. 3. Optimizing User Experience: By testing different ad positions, Hamtaro can identify the placement that enhances the user experience and encourages higher engagement. This is important for long-term user satisfaction. 4. Maximizing Revenue: Ultimately, the goal is to increase revenue. A/B testing allows Hamtaro to fine-tune the platform for maximum profitability by identifying the most effective ad placement."
125,"Granularity should be the number of ad clicks a user gets in each session to measure whether ad placement influences click-off. Attribution period should be 1-4 weeks, as this is not too little time to collect data from users and not too much time to be disturbed by external factors."
126,Should use bernoulli more than just click to view or not click to view
127,A/B test is suitable because it can clearly analyze the impact of this change on sales. It reduces the risk of impact on sales. It is reliable because the variables are well controlled and the results are accurately measured.
128,"Agree, because if we want to measure whether users click on ads more or not, we should count the number of clicks, which each person will have only one case of click (success) and no click (failure), which is a bernoulli distribution. So when this event occurs in many people who are independent, it will be a binomial distribution."
129,"Agree because each person&#39;s probability is Bernoulli and when combined, it becomes a Binomial Distribution."
130,Agree because - It is suitable for experiments with only two outcomes (click or no click) - It is easy to calculate and has a clear formula for calculating the probability of the outcome - It is suitable for experiments with equal proportions and independent experiments - It is flexible to apply to experiments with different sample sizes.
131,"The 50/50 method takes a shorter trial period but has a higher chance of affecting your overall income. The 80/20 method takes a longer period but has a lower chance of affecting your overall income. I chose the 50/50 method because the trial period mentioned above is 2 weeks, which is not that long and the results are fast."
132,"Choosing a 50/50 split means equally distributing users between the two test groups, which should give a balanced view of user interactions with the ads. An 80/20 split would mean one group is larger than the other, which could introduce bias into the test results. For Hamtube, a 50/50 split is typically more reliable for understanding the true impact of ad placement changes."
133,"Agree, because the binomial distribution is suitable for analyzing data that has 2 types, where A/B testing will result in one of two outcomes, such as click or no click, making the binomial distribution suitable for A/B testing."
134,"It is appropriate because in this A/B Testing, the only result is whether people come to see, click or not. Therefore, using a binomial distribution, which is a continuous bernoulli, is appropriate."
135,"Agreed, as it is appropriate for situations involving binary outcomes, such as user clicks on ads."
136,Agree because it measures the chance of clicking or not clicking on the ad in that location.
137,"50/50 Advantages Allows Hamtaro to immediately test ad structures in both placements against each other. Disadvantages Testing the same proportion may not give Hamtaro enough data to adjust the proportions further. 80/20 Advantages Allows more new ads to be tested, allowing for a wider examination of the effects of the new ad structure. Disadvantages Testing a larger proportion of new ads may bias the old ads, making it impossible to properly analyze the effects of the old ad structure. 80/20 is more appropriate for new ads to test."
138,"I agree with using A/B Testing because A/B Testing is suitable for comparing 2 things, for example in this case, let&#39;s say ad position A or ad position B, which one has better user engagement."
139,"Agree because each person has a chance to press or not press, it is a Bernoulli distribution. When we consider the sample size n, the distribution is in the form of a binomial distribution."
140,"A/B testing is a useful process for testing hypotheses or changes in marketing. Hamtaro should use A/B testing to test whether moving the position of his ads will affect their clicks or sales. This test gives him clear information about the effect of the change, which allows him to make informed decisions on adjusting Hamtube&#39;s marketing accordingly."
141,"Agreed, because we can view the problem as having p chances of users clicking on an ad in each session. If we view the problem in this way, we can view the distribution of the number of times users click on an ad as Binomial([number of sessions], p)."
142,"- 50/50 ratio: The advantage is that the experiment is balanced and easy to analyze. The disadvantage is that it may not reflect the real-world conditions of all users. - 80/20 ratio: The advantage is that the experiment may better reflect the behavior of users in a real-world environment. The disadvantage is that it may be difficult to detect differences in results between the two groups. For Hamtaro, the choice of ratio depends on the purpose of the experiment and the importance of reflecting reality in the experiment. If the goal is to conduct the experiment in a more controlled environment, the 50/50 ratio may be more appropriate. But if data that reflects the real-world behavior of users in a real-world environment is desired, the 80/20 ratio may be a better choice."
143,"I don&#39;t quite agree, especially when the data is complex and requires very detailed analysis. This is because the binomial distribution is often used to count only two possible outcomes (such as success or failure or heads or tails). However, in A/B Testing, there can be many variables that affect the outcome, such as the frequency of clicks on ads, the time spent viewing ads for each ad type."
144,"Why use it: A/B testing is a powerful tool for testing the impact of small changes on business results. In Hamtaro’s case, the experiment helped him assess whether changing the placement of his ads had an effect on click-through rates and user engagement. By splitting users into two groups (one group seeing the ad in the same location and the other group seeing the ad in a new location), Hamtaro was able to make meaningful comparisons. Con: If Hamtube’s market or user behavior is highly volatile, the results of the experiment may be inconsistent or inexhaustible. In this case, a more sophisticated approach, such as advanced statistical analysis or user insights, may be more appropriate."
145,"Granularity: Granularity should be chosen in line with how users interact with the ad. If the ad has high engagement (e.g. clicks), this helps Hamtaro better understand user behavior over a short period of time. Attribution Period: This period should be sufficient to cover the user&#39;s normal interactions with the ad and purchasing decisions."
146,"Total number of ad clicks, total number of visitors because it indicates how interested the viewer is in the ad. As for the attribution period, it should be 1 week because each day may affect the viewing, for example, Saturday/Sunday which are holidays may affect the number of clicks, so it should be calculated as 1 week."
147,"50/50 will give fast results but it is risky because if the positioning is not good, the audience will be very discouraged. 80/20 will take a long time to test because it requires high accuracy, but only a few viewers will see it. I personally recommend 80/20 because it gives more accurate results even though it takes a little longer."
148,"For 50/50, Advantages: Can balance between old and new, Can reach significance faster because the sample size of the new position is larger than 80/20. Disadvantages: Can take longer to detect the benefit because only 50% of the new position is accessed, ,More risky because more users are tested on the new position than 80/20. For 80/20, Advantages: Less risk than 50/50, Can capture the benefit faster because less proportion of new positions. Disadvantages: Does not balance between old and new positions, may bias the results, Can reach significance slower, may require longer testing. Answer: Use 80/20 because it reduces the risk that the new position may not be a good position, which reduces the revenue risk."
149,"50/50 has more statistical power but is more risky if the experiment fails. 80/20 has less statistical power but is less risky. I think the goal of the experiment is to increase sales, so sales should not be put at risk, so I choose 80/20."
150,"Agreed, since Hamtaro&#39;s experiment results in users clicking on ads (success) or not clicking (failure), it is suitable to use a binomial distribution. "
151,It should be done because he can easily collect data that is relevant to the test.
152,"Agreed, because we have already defined the proportion of users who saw the ad in the old position (A) and the new position (B), and what we want to find is the number of clicks/number of times each user saw the ad, so we should use binomial."
153,"Granularity should be the number of Unique User Ids that clicked to watch the video, since one person may watch the video repeatedly. Metric should be (#ad clicks)/(#Unique userid). Attribution Period should be 1 day, since it is assumed that viewers who watch the video will spend within 1 day anyway. "
154,"It should be used because A/B testing is a comparison of the combined effects of placing ads in a new location and in the original location to see if changing the location will affect user behavior. Hamtaro should use A/B testing because A/B testing allows for experiments that are based on solid data and evidence. This is because the comparison between the experimental group and the control group will clearly show the effects of changing the ad location. In addition, this experiment will allow us to see the results before implementing the changes to every user, which reduces business risks.
"
155,"Agree, because clicks or non-clicks on ads are a Bernoulli distribution, so the clicks or non-clicks of a large number of viewers are Bernoulli cycles, so it is a Binomial distribution."
156,"I would like to assume that Hamtube is a new business that does not have enough power to release a lot of new features. Therefore, I think that choosing 80/20 is more appropriate because it has low business risk. If this ad transfer causes the number of clicks on ads to decrease significantly, it will not have much negative impact on Hamtube. In exchange, it will take a long time to collect data from the 20% side. However, since Hamtube is not in a rush and does not have many other features to release for testing, a long time is not a problem. As for using 50/50, it has the advantage of time and can get data much faster than 80/20, but in exchange for higher risk. If no one clicks on 50 of B&#39;s ads, Hamtube will lose a lot of revenue."
157,1. A/B experiments allow you to control for other variables that might affect the outcome by comparing a treatment group to a control group. 2. A/B testing provides reliable data because it involves testing in a real environment where users work or interact with the product or service.
158,"granularity: user ids/reach attribution period: 30 days because it will allow for detailed analysis of each user&#39;s behavior, which will help increase understanding of the user. And choosing attribution period = 30 days because it allows time to observe the user&#39;s changed behavior during that period."
159,"Since what Hamtaro wants to do is move ad placement from A to B to test which placement will get more clicks, A/B testing, which is designed to test two different scenarios to see which is better, is very suitable."
160,"Granularity is the ratio between the number of people clicked on ads / the number of people seen ads. Attribution period is 7 days because in case of still using the same ads, the same people will remember and not click on the same ads again for about 1 week or within a week if they see it and it catches their attention but the first time they do not click on the ads within 1 week, when they see it repeatedly, it is possible that they will click to see it."
161,"50/50 Advantages - Faster results - Reduces potential biases from uncontrolled variables Disadvantages - Higher risk than 80/20 Advantages - Provides more meaningful data, allows for more efficient analysis of results - Lower risk Disadvantages - Takes longer to collect data from the test group, resulting in slower results 50/50 is the choice because business risk from ad placement is unlikely to be a concern, and faster results are more important."
162,"Using a binomial distribution in Hamtaro&#39;s A/B testing was a good decision, mainly because the test involved events that had a &quot;click&quot; or &quot;no click&quot; characteristic, which fits the binomial distribution&#39;s properties for handling events with two outcomes like this."
163,"Agreed, because A/B testing is similar to a scientific experiment with results that follow a typical binomial pattern."
164,"50/50 Ratio: Advantages: Choosing a 50/50 ratio allows the experiment to be neutral between showing the old and new ads in the new placements, allowing for a more comprehensive analysis of the effects. Users do not have to spend a long time exposing the new and old ads. Disadvantages: An unbiased experiment may not be able to observe the effects of showing ads in different placements in sufficient detail. 80/20 Ratio: Advantages: The risk of the experiment is low. Disadvantages: It takes longer for people to see the new placement. Consider a 50/50 ratio as a first step to test the overall effects of showing the new and old ads, and then adjust the ratio in the next experiment based on the results of the initial experiment. "
165,"Since our test only checks whether the user clicks on the ad or not (there are only 2 types: click and no click), using a binomial distribution is appropriate."
166,"50/50 ratio: Advantages: Fast results, balance in testing. Disadvantages: High risk if the new position does not work. 80/20 ratio: Advantages: Reduced risk, better control of the situation. Disadvantages: Slow data collection, high variability. The choice depends on the risk tolerance and the urgency of getting results. If you accept the risk and want fast results, use 50/50. If you want to reduce the risk, use 80/20. For Hamtaro&#39;s problem in A/B testing a new ad position on Hamtube, the 50/50 ratio would be more appropriate because: Evaluate results quickly: Provides sufficient and fast information to evaluate the results of the change. Balance: Gives both positions an equal chance, allowing for a fair comparison. Reliability: The results from this ratio are highly reliable because each position is tested equally. Choosing this ratio will provide Hamtaro with accurate and comprehensive data to make better decisions."
167,"Disagree: Avoiding complexity: If the test has complex conditions and many variables that affect the results, using a more complex distribution may require more complex manipulation and calculations. Limitations in expressing the p-value: Using a binomial distribution may have limitations in expressing the p-value accurately, due to the limitations of sample size and large group sizes of the test. Using Normal Approximation: In the case of A/B testing, with a large enough sample size, using Normal Approximation can provide sufficient results to be used in calculating the p-value."
168,"Agreed, because the user&#39;s choices are binary, i.e. click and no click."
169,"Granularity should be #ads clicking event #cookies because clicking on ads in the same location and changing locations involves user learning. That is, if the user clicks in for the first time, they may not find it yet. But when they find it, the user will know that there is an ad here, which affects subsequent clicks that use cookies because it will cover all users, both logged in and not. Also, consider that placing ads on each device makes the user have to find a new location, so it should not be counted from device ids. Attribution Period should be 2 weeks, which will give the user time to become familiar with the ad placement."
170,"50/50 Model Advantages - Takes less time to test, because the sample group in each experiment is collected at the same rate. Disadvantages - There is a higher risk of business damage if the ad relocation method does not work well. 80/20 Model Advantages - There is a lower risk of business damage if the ad relocation method does not work well. Disadvantages - Takes more time to test, because the sample group in the ad relocation experiment is collected at a smaller rate. It is recommended that Hamtaro use the 80/20 model to avoid too much risk (assuming that Hamtube is a large platform)."
171,"Agree, because in this experiment, we are interested in the outcome which is divided into 2 parts: success and failure, and the variable in this experiment is the average of the litter rate from doing Bernoulli n times and finding the average, which is a binomial distribution n times."
172,"Granularity: The number of times a user clicks on an ad, and if the same ad is clicked, the number of times will not be counted. Attribution period: 1 hour, which is probably the time most people spend watching Hamtube."
173,"50/50 has a high risk because we have Type B (new ad placement) up to 50%, which if the result of Type B comes out bad, it will make the existing sales drop, but it has the advantage of collecting data quickly. As for 80/20, it is the opposite, it has the advantage of if the result of Type B comes out bad, it will not make the existing sales drop much, but it has the disadvantage of collecting data slowly. For this problem, I think using Type 50/50 is more appropriate because it gets data faster and moving the ad position does not cause much harm to the business."
174,"50/50 Advantages: It is more balanced and can be tested faster and shows better results than 80/20 because the numbers are similar. Disadvantages: It may have a big impact if the new format has problems and may have a negative effect on advertising revenue. 80/20 Advantages: There is a lower risk than 50/50 if the new format malfunctions or does not work well. Disadvantages: The data cannot be analyzed as well as 50/50 and it takes a long time to collect the data. I think the 80/20 ratio should be enough for this experiment where there is no rush to test and conclude the hypothesis.
"
175,"50/50 has the advantage of being able to have data sets of the same size, so it can provide sufficient information for decision making faster than 80/20. If there is a very good impact, it will have an effect quickly. The disadvantage is that if there is a high negative impact, it will have an impact greater than 80/20. 80/20 has the advantage of being safe, with low risk, if there is a very bad impact, it will have an impact on only 20%. The disadvantage is that it may take longer to obtain a sufficient data set than 50/50."
176,"50/50 Ratio Advantages: Balance: Allocating users equally to both groups results in balanced and easily comparable data. Speed of obtaining results: By allocating users equally, sufficient data can be obtained more quickly, allowing for faster analysis and decision-making. Disadvantages: Risk of large impact: If a change has a negative impact, it will affect a larger number of users. 80/20 Ratio Advantages: Less risk: Allocating more users to the control group (old positions) reduces the risk if the change is negative. Low-impact testing: New ideas can be tested without affecting the experience of the majority of users. Disadvantages: Slow to collect data: Allocating fewer users to the experimental group (new positions) takes longer to collect meaningful data. Potentially insufficient data: Not enough data may be obtained to conduct a reliable analysis. 80/20 Ratio reduces the risk of hamtube-related errors. If something goes wrong, the damage done is less."
177,"50/50 has the advantage of allowing the marketing team to test the new ad in a group of users that are the same size as the control group that saw the original ad, making the experiment more reliable and immediate. The disadvantage is that it may be slow to detect results because only 50% of users see the ad. The advantage of 80/20 is that most users will still see the old ad, which reduces the risk of users disliking the new ad. And if the 20% of users who see the new ad respond well, it can be used to increase sales. The disadvantage is that the measurement will be biased because most users still see the old ad. The 80/20 ratio is a good choice because it has a low risk of losing users and reduces risk in many ways."
178,"Using A/B testing to test the repositioning of ads on Hamtube is a great way to measure and verify whether this change can affect sales or user engagement. A/B testing allows Hamtaro to directly measure key business KPIs, such as sales, ad clicks, or platform engagement. Additionally, repositioning ads can have different effects than the theory behind Hamtaro’s hypothesis. Hamtaro can test this theory through A/B testing to see if it holds true. The results of A/B testing allow Hamtaro to refine and improve their marketing strategies as needed. If repositioning shows positive results, it can be used to develop further marketing plans."
179,"Agree because each user sees an ad and clicks on it each time, it is a Bernoulli distribution."
180,"A/B testing is recommended because it helps in making informed decisions about the results of comparing the group that saw the ad in the original position (Group A) and the group that saw the ad in the new position (Group B). It allows you to see the changes and has the ability to control for noise and other variables that may affect the results by randomly allocating users to each group, ensuring that the results are clearly and accurately the result of the change in ad position only. The results from A/B testing can be used to continuously develop and improve the platform if there are changes. But if this method does not work, you can try new approaches."
181,"Hamtaro should use A/B testing in testing because moving the position of the ad in Hamtube can measure which position is better or in this case, which position users will click on the ad more, which is related to increasing sales. By comparing between different positions through the same relevant factors/metrics, it will be possible to compare the difference in sales from moving the ad position."
182,"The 50/50 ratio should be used to test as many changes as possible without much statistical error, as this will provide more efficient data. However, the disadvantage is that using a 50/50 ratio can increase advertising costs while the results are unclear in the early stages of testing, as the new ad may not have as good a sales result as the old ad in some cases. However, if the test shows that the new ad is better than the 50/50, it will provide Hamtaro with efficient data to make better decisions about further changes."
183,"It is appropriate because it measures whether or not a user clicks on an ad based on how many times the user sees the ad, and it is discrete, making it a suitable and simple model to run A/B tests on."
184,"A/B testing allows Hamtaro to measure the effectiveness of his marketing campaigns in the most efficient way possible, in this case by moving the placement of his ads in the spotlight. This allows him to see if the change has an effect on clicks, shares, or sales. A/B testing allows for an even split of audiences and statistical comparisons."
185,"Granularity 1. User Segments: If Hamtaro wants to understand how different user segments respond to the changed ad positions, granularity should involve segmenting users based on relevant criteria such as demographics, geography, or user behavior. 2. Page-level vs. Site-wide: Depending on the goals, Hamtaro may choose to test the ad position changes on specific pages or site-wide. Granularity in this context would involve deciding whether to focus on a particular section of the platform or apply changes universally. 3. Device-specific Testing: If Hamtaro suspects that user behavior varies significantly between devices (eg, desktop vs. mobile), granularity could involve testing the ad positions separately for each device type. The attribution period should be short-term because 1. Immediate Impact Expectation: If Hamtube expects the changes in ad placement to have an immediate impact on user behavior (eg, increased ad clicks), a short-term attribution period may be suitable. 2. Transactional Platforms: For platforms where user interactions and decisions happen quickly, such as e-commerce websites or news platforms, a short-term attribution period may be more appropriate. 3. Resource and Time Constraints: If there are resource or time constraints, conducting a short-term test allows for quicker results and decision-making."
186,The key feature of A/B testing is that it is either A or B. It should be used because it tests whether changing the ad position will affect sales.
187,"Hamtaro should use A/B testing because A/B testing allows Hamtaro to clearly test the impact of changing ad placements by comparing a group that saw the ad in the old placement (control group) with a group that saw the ad in the new placement (experimental group). This experiment will reduce the effect of other variables that may affect ad clicks, such as user behavior or content types."
188,"Granularity is #checkout events/#hits to see if changing the location of the ads makes people see more, choose to buy more. Attribution period should be 2 weeks because in the first week people may not be familiar yet, but in the week when two people are more familiar, it will result in more stable values."
189,"The granularity should be reach because we want to know the number of people or groups that are likely to see the ad or access the content, and the length of the attribution period should be one day attribute period because to test the movement of the ad position, it will allow us to see the advertising results and user responses quickly, but it may not cover actions that occur over a long period of time."
190,"Hamtaro&#39;s A/B testing makes sense because: 1. A/B testing provides us with evidence to support our decision-making by comparing a group that saw the ad in the original position (Group A) and a group that saw the ad in the new position (Group B), to conclude how changing the ad position affects ad clicks. 2. A/B testing allows us to measure results precisely because dividing the experiment group into two groups allows us to clearly see the changes or differences in each group. 3. A/B testing reduces risk by experimenting before making any changes that will have a broad impact on user experience or platform revenue. 4. A/B testing can reduce noise by controlling other variables and changing only one variable, allowing us to measure the results without other factors."
191,Agree because the data is binary (click or not click) and independent (users who click are not related to users who do not click).
192,"50/50 gives an equal amount of exposure to the experiment between group A (exposed to the old location) and group B (exposed to the new location), which reduces the influence of other variables that might influence the outcome of the experiment. 80/20, giving a greater proportion of exposure to the new location, increases the chances of the experiment being that the new location has a favorable effect. If an equality experiment is desired and the expected outcome is not yet known, a 50/50 ratio might be appropriate. However, if there is a clear hypothesis and you want to increase the chances of testing a certain outcome, an 80/20 ratio might be an alternative."
193,"50/50 will allow you to collect complete samples faster, but it is more risky. 80/20 is slower, but less risky. I think 80/20 is more suitable because seeing the changed ads may annoy users, causing the platform to lose a lot of customers and lose a lot of revenue from seeing the ads."
194,"The 50/50 ratio will take less time but is more risky. On the other hand, the 80/20 ratio will take longer but is less risky. So if Hamtaro has enough time (which he probably does), he should choose the 80/20 ratio."
195,"A/B testing should be used because when testing the repositioning of an ad, there is uncertainty as to whether or not viewers will click through, so randomness is involved."
196,"Agree, because A/B testing is a type of testing that has a binary outcome: press or not press, by counting the number of times the event occurs in each experimental group. Binomial distribution is suitable for the number of possible times in this type of experiment."
197,"ad clicking events / # sessions: Since we want to see if the click rate is higher, the length of the attribution period should be within that session, since we only want to measure whether users click on the ad in a single session."
198,Agreed because each time a user comes across an ad the click chance is bernoulli and when combined it becomes binomial.
199," Binomial distribution is suitable for A/B testing because it contains only two outcomes (click or no click) and one user&#39;s click or no click on the ad does not affect other users, making it easier to manage data in case of large number of experiments."
200,"Agree because using a binary distribution allows us to distribute the choices of a large number of users and separate them into only 2 choices: click or do not click on the ad.
"
201,"Using a 50/50 ratio will allow you to collect A/B testing data faster than using an 80/20 ratio. However, using a 50/50 ratio is riskier because more than 50% of users will have to use the feature from the B test, which may not have been thoroughly tested because it is still in the experimental phase. This may cause some problems or create dissatisfaction among users. Therefore, choosing an 80/20 ratio, which will collect testing data slower, but does not require as much risk as choosing a 50/50 ratio, is more appropriate."
202,"50/50 Advantages: faster results, disadvantages: higher business risk. 80/20 Disadvantages: slower results, advantage: lower business risk."
203,"50/50 ratio - Advantages: It doesn&#39;t take long to collect all the data you want. - Disadvantages: There is a high risk that the new format may have problems and have a significant negative effect on the Hamtube. 80/20 ratio - Advantages: There is low risk, meaning that if the new format may have problems, the negative effect on the Hamtube will be small. - Disadvantages: It takes a long time to collect all the data you want. Choose the 50/50 ratio because it collects data faster, and if changing positions has a problem, it shouldn&#39;t be difficult to fix and move back to the original format."
204,"Agreed. By splitting the users for testing, Hamtaro can directly compare the results when changing the position of advertisements. This A/B testing approach allows for a clear evaluation of the impact of the ad position on user behavior."
205,"50/50 Advantages: Fast results, lots of data collection. Disadvantages: Customers may not like it, causing you to lose customers and lose sales. 80/20 Advantages: Less chance of losing customers and sales if customers do not like it. Disadvantages: It may take a long time to collect data. I think choosing 80/20 is safer for sales."
206,"The numerator is the number of times the ad is clicked (because we want to measure whether the number of ad clicks has increased or not). The denominator is the number of refreshes of the home page (including the first time the app is opened) (because with every refresh, the home page will move up to the top, showing the ad). The length should not be too long because people who use Hamtube do not primarily intend to watch ads. On average, Hamtube users use it for about 1 hour per day (guessing), so it should be recorded every 1 hour.

"
207,"Number of clicks on ads in the video / Number of views of the video Because the number of clicks is the value that is needed to measure the number of views as a denominator to compare with the total number of people who have watched the video (the same person watches the same clip, clicks and opens a new tab. When they come back to watch again, they don&#39;t think that the ad will be opened again.)"
208,"Agree, Controlling external factors in A/B testing is crucial to ensure the validity of the test results. External factors can introduce variability that can skew the data, leading to incorrect conclusions. For Hamtube, this means ensuring that any increase in ad clicks after moving ad positions is actually due to the change in ad placement and not external influences"
209,"The reason for not using the binomial distribution in A/B testing lies in the statistical characteristics of A/B testing, which differ from the scenario where binomial distribution might be suitable, such as when counting the number of occurrences of a specific event in a predefined number of trials. A/B testing, on the other hand, involves comparing two groups with different characteristics, and the metrics often revolve around continuous variables, making normal or t-distributions more appropriate for hypothesis testing."
210,"Agree because it is a test between the new ad position and the original position, which has 2 formats, so it is suitable for A/B testing."
211,"I disagree because an ad click can be clicked multiple times by one user, so should it be measured in the number of clicks before adjustment or not and is it a Normal Distribution?"
212,It is the number of times the ads are shown to the user. The length of the attribution period is 1 day to measure whether the user clicks on the ads within 1 day after the ads are shown to the user.
213,"50/50 has the advantage of being fair but requires a large sample size and there is a risk that the other half will be in a very bad position which will result in lost revenue. 80/20 has the advantage of being low risk and suitable for testing but nevertheless it takes time to test for results. The more suitable type is 80/20 because it has lower risk, if the results are good then it is not too late to adjust the ratio to increase the new positions."
214,"50/50 Advantages: It is systematic, all groups are tested equally, the results are accurate. Disadvantages: It requires a lot of capital and time. 80/20 Advantages: It may not require much investment and takes little time. Disadvantages: There is a chance that the results will not be accurate due to inequality. Therefore, hamtaro should choose the 50/50 type because hamtaro only wants to help increase sales, it does not need to consider the money that must be invested to increase sales."
215,"- Granularity: Ads clicking / hits because each time a website visit is made, there may be different ads (or assume that there is a randomized ad every time you refresh) - Attributtion period : 10 minutes because most users will see the ad immediately after clicking into that page. Therefore, the user will immediately decide whether to click to see the ad or not, which is a short period of time."
216,"Because it is possible to divide users into control, which is placing the same ad position, and treatment, which is placing the new ad position, and it is possible to measure the amount of change in the number of sales to perform statistical testing to conclude the results."
217,"50/50 Advantages: The experiment can be completed more quickly because the sample group can be completed quickly (both types can be completed at the same time). Disadvantages: High risk because users may prefer the old position. During the experiment, a lot of income will be lost. 80/20 Advantages: Low risk. If the new position is not good, it will not have a significant effect on income. Disadvantages: It takes a long time to complete the group of users who have the new position as planned at the beginning of the experiment."
218,"50/50 - Fast results, but high risk 80/20 - Slower results, but lower risk 80/20 is probably a better choice because retaining a user base is more important."
219,"2.1 Number of users who click on ads/Number of users who watch the entire video 2.2 3 hours because sometimes the video that users click to watch is very long. But mostly, if the video is longer than that, it is a video that users listen to more than watch, such as a video that includes long songs, so there is no need to pay attention."
220,"In terms of granularity, it&#39;s recommended to assign the frequency of ad displays to users to ensure an adequate level of detail during testing. Regarding the attribution period, it&#39;s best to keep it at only one day, enabling the measurement of clicks within a short time span after the ad is shown. This strategy facilitates an accurate and immediate evaluation of ad effectiveness."
221,"This makes sense because using a binomial distribution tells us the probability of how many people click on an ad, so we can tell if the distribution is actually increasing sales by using hypothesis testing."
222,"Granularity should look at the number of users who click on your ads each week, and the Attribution period should be long enough (around 1 month) to make the conclusions more accurate."
223,Agreed because we get success rate and number of viewers which can represent the distribution of this A/B testing.
224,I disagree because users may not see the same number of ads.
225,"I agree because when viewing an ad once, viewers have the right to choose not to click on it or to click on it, and the ad can appear multiple times."
226,"Using a 50/50 split for ad displays has scientific benefits, enabling quick and efficient testing due to its ability to gather extensive data rapidly. However, this method carries the risk of significant differences between the original (A) and new (B) ad placements, leading to less accurate and uncertain test results. In contrast, the 80/20 split offers theoretical advantages by reducing risks associated with the 50/50 split. Allocating fewer displays to the new placement (B) minimizes the risk if it doesn&#39;t perform as well as the original (A). Yet, the downside involves a time delay as it takes longer to accumulate data for the smaller proportion of ad displays, resulting in slower result analysis and marketing strategy adjustments. Therefore, the 80/20 split appears more fitting for the retailer&#39;s situation, aiming to manage risks in A/B testing within a shorter duration."
227,"50/50 Ratio: Pros: Allows Hamtaro to compare results equally between two groups, reducing the risk of unintended deviations. Cons: May have a negative impact on the overall user experience if the new ad placement is ineffective. 80/20 Ratio: Pros: Reduces the risk that a large number of users will have a bad experience if the change is ineffective. Cons: May make the results of the experiment less reliable due to a smaller sample size being exposed to the ads in the new placement. Which is better: For this experiment, a 50/50 ratio might be more appropriate to achieve equal and highly reliable data."
228,I disagree because there may be factors other than ad repositioning that affect users.
229,50/50 Advantages: Get information faster. Disadvantages: There is a chance of causing damage to the business. 80/20 Advantages: The impact on the business is not very high (in the case that the adjustment makes the ads pressed less). Disadvantages: Get information slowly. You should choose 80/20 to prevent damage to the business.
230,"granularity = #ads_clicked/#ads_seen #ads_clicked is the number of people who saw the ads and clicked (not counting duplicates) #ads_seen is the number of people who saw the ads (not counting duplicates) because we want to measure sales from the number of users who clicked on the ads attribution period = 1 day because clicks on ads occur in a short period of time, measuring within one day is appropriate."
